b2,b3,b4,b8,b28,ndbi,brightness,brightness_vic_sum,brightness_vic_mean,brightness_vic_num_dark,brightness_vic_num_bright,ndbi_vic_sum,ndbi_vic_mean,b28_vic_sum,b28_vic_mean,mpf
0.006079028699693668,0.01611864382235263,0.028699513177899465,0.014492497012527156,-2.48782552685521e-07,-7.593175747528199e-05,1.2953073947048763e-07,5.0888527633656315e-05,3.6786526356697103e-06,7.0,0.0,-0.0005006828400208834,-7.718533662971034e-05,2.0785761452788428e-05,1.1710315705562294e-06,0.0
0.018514223240832784,0.00037740185251850314,-0.0052200392957731925,0.02852283785104667,2.550040052141017e-07,-9.484976784568237e-05,1.2340893928535568e-06,-1.2119993445000743e-05,8.864450290158278e-06,6.0,0.0,-0.0005702784639715632,-8.255937794593123e-05,2.33806475352153e-06,6.058966482270147e-07,0.0
0.012842835027731814,-0.004602169675258422,0.021516909577125074,-0.0013637451161068806,1.5706331221756597e-07,-5.736179229659932e-05,1.879346565624888e-06,6.546392056180266e-05,9.055983148841229e-06,8.0,0.0,-0.0007009916349458418,-7.199473090795753e-05,1.4070517037388241e-05,9.604429728217477e-07,0.0
0.0,0.0003,0.0002,0.003,-3.000000026077032e-07,-0.0001,1.6666666488163172e-08,4.158333241939545e-05,5.197916552424431e-06,8.0,0.0,-0.0004984193801879882,-6.230242252349853e-05,9.480000287294388e-06,1.1850000359117985e-06,0.0
-0.0025444079399741856,0.013063104667057353,-0.009793157532806558,0.02482085328532631,-7.49637082811159e-07,-6.928791317261333e-05,2.272148708814665e-06,8.377527314468129e-05,8.38703038989851e-06,7.0,0.0,-0.0007370179576494958,-8.33033979758672e-05,1.1734213239656842e-05,1.470483278391975e-06,0.0
0.0,0.0001,0.0001,0.0001,-9.999999747378752e-09,-0.0001,6.666666740784421e-09,7.66666664276272e-08,9.5833333034534e-09,8.0,0.0,-0.0008,-0.0001,-1.9999999494757503e-08,-2.499999936844688e-09,0.0
0.0,0.0002,0.0001,0.0,0.0,-0.0001,9.999999747378752e-09,9.666666737757624e-08,1.208333342219703e-08,8.0,0.0,-0.0008,-0.0001,9.999999747378752e-09,1.249999968422344e-09,0.0
0.006109066300871657,0.004930510319640532,0.01756271022917793,0.029837150299194832,2.3176714582775298e-07,-6.045090397260465e-05,-8.745611929129559e-07,2.1895223350928972e-05,4.495691985877432e-06,7.0,0.0,-0.0004535526613734147,-9.79394916672334e-05,1.124328749824158e-05,2.45002275115818e-06,0.0
0.017113812190137585,0.020227211315518575,0.02238177069432327,0.01200137637652448,4.762924592262203e-08,-6.555789447718914e-05,-8.082215139281473e-08,3.911461453737557e-05,2.1575781425289297e-06,8.0,0.0,-0.0006403765437732656,-7.184266988092762e-05,8.64813481940877e-06,6.66225668539416e-07,0.0
0.005146934630787841,-0.0038608245755557486,0.018993990410868664,0.03074654951296461,-1.2873598350393045e-06,-7.431663081687677e-05,1.111243208232989e-06,3.4987111937544556e-05,8.755562022003484e-06,7.0,0.0,-0.00045698423215698934,-0.00010399272136982159,-1.2483481122528762e-06,8.857291766180384e-07,0.0
